Date,City,Latitude,Longitude,Crime_Type,Daily_Incidents,Investigation_Status
2025-01-03,Chennai,13.076179940408329,80.2675450701719,Assault,14,Resolved
2025-01-03,Kolkata,22.526072875258233,88.36657577134893,Theft,19,Under Investigation
2025-01-03,Hyderabad,17.398449157710477,78.49594055962677,Assault,17,Resolved
2025-01-03,Ahmedabad,23.063585760314524,72.569832101223,Burglary,8,Resolved
2025-01-03,Jaipur,26.938364759273107,75.83352040132324,Assault,12,Resolved
2025-01-03,Lucknow,26.881802049669886,80.94484284459642,Fraud,18,Open
2025-01-03,Bhopal,23.274481450562124,77.38327697846566,Fraud,16,Open
2025-01-04,Mumbai,19.116058466631227,72.88253138339239,Theft,0,Open
2025-01-04,Delhi,28.692508392583125,77.13739850440885,Assault,3,Resolved
2025-01-04,Bengaluru,12.963874542741797,77.5671396822755,Vandalism,9,Resolved
2025-01-04,Chennai,13.084260693788151,80.260352123162,Burglary,6,Open
2025-01-04,Kolkata,22.531184298251016,88.34617651878503,Vandalism,13,Under Investigation
2025-01-04,Hyderabad,17.369238989491897,78.45082917956456,Theft,15,Resolved
2025-01-04,Ahmedabad,23.052221932455268,72.61026886957646,Vandalism,10,Under Investigation
2025-01-04,Jaipur,26.883098953943186,75.74707713916943,Theft,0,Open
2025-01-04,Lucknow,26.84050546932487,80.99504928255011,Fraud,4,Resolved
2025-01-04,Bhopal,23.23298910384078,77.44214538135326,Fraud,12,Resolved
2025-01-05,Mumbai,19.104028183068774,72.89246882922323,Burglary,12,Under Investigation
2025-01-05,Delhi,28.656328398834184,77.06235102220157,Fraud,12,Open
2025-01-05,Bengaluru,13.020942607392335,77.64088673188388,Theft,19,Resolved
2025-01-05,Chennai,13.060357656335091,80.28045501883953,Fraud,18,Under Investigation
2025-01-05,Kolkata,22.537914804684956,88.35258405340208,Theft,13,Open
2025-01-05,Hyderabad,17.35767793770068,78.44985088096925,Assault,4,Resolved
2025-01-05,Ahmedabad,23.003843824975984,72.60265141461441,Fraud,16,Under Investigation
2025-01-05,Jaipur,26.882705899962264,75.79099646140651,Vandalism,6,Under Investigation
2025-01-05,Lucknow,26.884765022564363,80.93372247353891,Vandalism,11,Open
2025-01-05,Bhopal,23.297621135188347,77.4038480873973,Burglary,6,Open
2025-01-06,Mumbai,19.035408992295007,72.83551113937827,Assault,6,Resolved
2025-01-06,Delhi,28.661452814212353,77.07539181967064,Fraud,4,Under Investigation
2025-01-06,Bengaluru,12.980737547663047,77.59442245867206,Burglary,7,Under Investigation
2025-01-06,Chennai,13.1194224379565,80.28604377368683,Fraud,8,Resolved
2025-01-06,Kolkata,22.59176382342958,88.31797648320936,Burglary,14,Open
2025-01-06,Hyderabad,17.350954329885997,78.51906916180286,Fraud,10,Under Investigation
2025-01-06,Ahmedabad,23.049937509454747,72.59944552518213,Vandalism,11,Under Investigation
2025-01-06,Jaipur,26.920994658353287,75.73938049004808,Vandalism,17,Resolved
2025-01-06,Lucknow,26.857803487170187,80.90112234012501,Fraud,12,Open
2025-01-06,Bhopal,23.21710211315764,77.41051944667491,Burglary,17,Resolved
2025-01-07,Mumbai,19.06032795161572,72.85895703560023,Burglary,2,Open
2025-01-07,Delhi,28.66699422836244,77.11492283108855,Fraud,13,Resolved
2025-01-07,Bengaluru,12.934171978613406,77.62462419839164,Burglary,16,Open
2025-01-07,Chennai,13.099769328890543,80.2876692671571,Vandalism,3,Open
2025-01-07,Kolkata,22.621777042653928,88.33216727122765,Vandalism,10,Under Investigation
2025-01-07,Hyderabad,17.403346994161183,78.48981030612102,Fraud,18,Under Investigation
2025-01-07,Ahmedabad,22.979476332624404,72.5958747477003,Vandalism,9,Resolved
2025-01-07,Jaipur,26.870767698404087,75.74433808006337,Fraud,8,Resolved
2025-01-07,Lucknow,26.829356456101074,80.94549057693865,Burglary,17,Open
2025-01-07,Bhopal,23.306201680767064,77.4376537807204,Assault,16,Resolved
2025-01-08,Mumbai,19.118705339569132,72.91777842479829,Vandalism,5,Open
2025-01-08,Delhi,28.743976595048156,77.06859890861367,Vandalism,14,Under Investigation
2025-01-08,Bengaluru,12.932546064786697,77.6110043063282,Assault,15,Open
2025-01-08,Chennai,13.098748821091727,80.29405840445601,Assault,14,Resolved
2025-01-08,Kolkata,22.576546593743657,88.37170439558788,Fraud,14,Resolved
2025-01-08,Hyderabad,17.351540290114805,78.50347419882324,Burglary,6,Resolved
2025-01-08,Ahmedabad,23.071815165804335,72.60506405183074,Fraud,0,Resolved
2025-01-08,Jaipur,26.95523605052942,75.73758499555804,Fraud,18,Open
2025-01-08,Lucknow,26.888626657584137,80.94875872390901,Vandalism,15,Under Investigation
2025-01-08,Bhopal,23.291412327365464,77.39642599632019,Burglary,5,Open
2025-01-09,Mumbai,19.059071266808388,72.91692071039758,Vandalism,14,Under Investigation
2025-01-09,Delhi,28.709621407616034,77.12013534813428,Fraud,4,Open
2025-01-09,Bengaluru,12.934448570122385,77.58434042516132,Theft,6,Resolved
2025-01-09,Chennai,13.061938233147794,80.30868587775109,Assault,17,Open
2025-01-09,Kolkata,22.547068102250627,88.3806067661601,Theft,9,Under Investigation
2025-01-09,Hyderabad,17.39068237362062,78.43707287249434,Fraud,6,Open
2025-01-09,Ahmedabad,23.015128421369496,72.58038850052486,Theft,5,Resolved
2025-01-09,Jaipur,26.937311652692237,75.79273994797798,Fraud,12,Resolved
2025-01-09,Lucknow,26.798380984199802,80.97766064273219,Assault,1,Resolved
2025-01-09,Bhopal,23.24898129809182,77.39223771972559,Vandalism,6,Resolved
2025-01-10,Mumbai,19.056117838344594,72.87607975225451,Vandalism,3,Under Investigation
2025-01-10,Delhi,28.666664086768474,77.07386050627358,Burglary,15,Resolved
2025-01-10,Bengaluru,13.019595409419471,77.61459645317996,Burglary,9,Under Investigation
2025-01-10,Chennai,13.084263876959762,80.32062885920715,Burglary,7,Open
2025-01-10,Kolkata,22.601303986282687,88.36511094442137,Burglary,15,Resolved
2025-01-10,Hyderabad,17.38952122006079,78.45499052932466,Theft,11,Open
2025-01-10,Ahmedabad,23.052931935433662,72.58461173526382,Fraud,2,Open
2025-01-10,Jaipur,26.862877791318372,75.75385747944361,Burglary,8,Under Investigation
2025-01-10,Lucknow,26.84368198363857,80.91069678837017,Burglary,2,Under Investigation
2025-01-10,Bhopal,23.259219153095014,77.4143801547559,Assault,10,Open
2025-01-11,Mumbai,19.09038770065442,72.90440138307338,Theft,1,Under Investigation
2025-01-11,Delhi,28.714043325389856,77.12807131058281,Fraud,10,Under Investigation
2025-01-11,Bengaluru,12.99887160812186,77.59243820291734,Assault,11,Resolved
2025-01-11,Chennai,13.080488067922904,80.31733631496024,Burglary,8,Resolved
2025-01-11,Kolkata,22.54626546485759,88.34577483242286,Theft,12,Open
2025-01-11,Hyderabad,17.340802743644492,78.51382539492245,Fraud,19,Under Investigation
2025-01-11,Ahmedabad,23.070140742428375,72.60803075523688,Fraud,12,Open
2025-01-11,Jaipur,26.88089258808776,75.79751107323791,Burglary,2,Resolved
2025-01-11,Lucknow,26.818234720735095,80.98169962322693,Vandalism,13,Resolved
2025-01-11,Bhopal,23.29988914615365,77.39158667650854,Theft,10,Under Investigation
2025-01-12,Mumbai,19.103019510504076,72.90246210089931,Theft,11,Open
2025-01-12,Delhi,28.682991967973713,77.0724244245566,Assault,4,Open
2025-01-12,Bengaluru,12.940656685701454,77.5527386106314,Burglary,18,Resolved
2025-01-12,Chennai,13.046787089958903,80.31964159315051,Fraud,7,Resolved
2025-01-12,Kolkata,22.56938887467221,88.37481784758293,Assault,7,Under Investigation
2025-01-12,Hyderabad,17.348990005189084,78.47259562531319,Fraud,11,Under Investigation
2025-01-12,Ahmedabad,23.052117556876578,72.53261635197966,Theft,17,Under Investigation
2025-01-12,Jaipur,26.929088551454722,75.75142592805182,Assault,3,Resolved
2025-01-12,Lucknow,26.882162197607286,80.98633989631576,Assault,6,Resolved
2025-01-12,Bhopal,23.219559463718245,77.37575798462827,Fraud,15,Resolved
2025-01-13,Mumbai,19.064172718906907,72.91897455019861,Assault,6,Under Investigation
2025-01-13,Delhi,28.730270629375863,77.14609019122149,Burglary,8,Open
2025-01-13,Bengaluru,12.98007227940817,77.63384810615969,Theft,14,Open
2025-01-13,Chennai,13.129608907348121,80.24025048405052,Burglary,3,Under Investigation
2025-01-13,Kolkata,22.538345811467572,88.37439047001114,Theft,7,Resolved
2025-01-13,Hyderabad,17.426686795349845,78.50936853345291,Theft,13,Resolved
2025-01-13,Ahmedabad,23.036393522359422,72.58640134601077,Assault,4,Open
2025-01-13,Jaipur,26.878425435465804,75.80324749313591,Fraud,15,Under Investigation
2025-01-13,Lucknow,26.824622486858377,80.91975093631694,Fraud,15,Under Investigation
2025-01-13,Bhopal,23.232640207964174,77.42900800943542,Vandalism,4,Under Investigation
2025-01-14,Mumbai,19.052949313261397,72.83167680708594,Burglary,8,Open
2025-01-14,Delhi,28.72815821665988,77.10201020986305,Vandalism,9,Under Investigation
2025-01-14,Bengaluru,12.936422645070223,77.60060185807411,Burglary,11,Open
2025-01-14,Chennai,13.102490658972343,80.27484947605417,Vandalism,15,Resolved
2025-01-14,Kolkata,22.566710961376707,88.35267999369022,Burglary,1,Open
2025-01-14,Hyderabad,17.356051559308135,78.4950295760034,Burglary,12,Open
2025-01-14,Ahmedabad,23.06401934497393,72.56335569749724,Fraud,12,Under Investigation
2025-01-14,Jaipur,26.88874476633658,75.75131221728806,Fraud,4,Open
2025-01-14,Lucknow,26.85550148015786,80.90196390012404,Assault,15,Open
2025-01-14,Bhopal,23.270001463017437,77.37010864735781,Assault,13,Open
2025-01-15,Mumbai,19.079774916808695,72.84855371630927,Burglary,13,Resolved
2025-01-15,Delhi,28.74884543362304,77.1405087784217,Theft,14,Resolved
2025-01-15,Bengaluru,12.981364592804558,77.62868565794447,Theft,14,Open
2025-01-15,Chennai,13.09369967425374,80.22548299988875,Theft,8,Resolved
2025-01-15,Kolkata,22.564974414301833,88.32563355900058,Fraud,13,Under Investigation
2025-01-15,Hyderabad,17.358622078127112,78.49255933412135,Vandalism,9,Open
2025-01-15,Ahmedabad,22.994190769929002,72.59282607617286,Assault,4,Under Investigation
2025-01-15,Jaipur,26.885050697643873,75.79018585330014,Assault,14,Under Investigation
2025-01-15,Lucknow,26.799993522609444,80.96916720348263,Fraud,13,Resolved
2025-01-15,Bhopal,23.286484021542584,77.38817561677655,Vandalism,12,Open
2025-01-16,Mumbai,19.118445430823137,72.92374452955065,Assault,15,Under Investigation
2025-01-16,Delhi,28.75015760280938,77.06483216488502,Vandalism,14,Resolved
2025-01-16,Bengaluru,12.97157496376874,77.56387217523859,Vandalism,17,Resolved
2025-01-16,Chennai,13.037828515144545,80.27951682588576,Theft,12,Resolved
2025-01-16,Kolkata,22.595144708626158,88.32437910949984,Vandalism,8,Resolved
2025-01-16,Hyderabad,17.393187497351036,78.53587956074796,Assault,0,Open
2025-01-16,Ahmedabad,23.001936892598263,72.57723363458433,Fraud,0,Resolved
2025-01-16,Jaipur,26.889415866253856,75.75312856559624,Theft,11,Resolved
2025-01-16,Lucknow,26.849530678726165,80.96789351358495,Assault,12,Resolved
2025-01-16,Bhopal,23.273416606060533,77.39236703940281,Burglary,7,Under Investigation
2025-01-17,Mumbai,19.03892465239459,72.9010790355086,Assault,14,Resolved
2025-01-17,Delhi,28.699545954779094,77.09497816381906,Burglary,2,Under Investigation
2025-01-17,Bengaluru,12.979096837802139,77.60687707837339,Fraud,19,Resolved
2025-01-17,Chennai,13.064247926701041,80.25255776007019,Fraud,18,Open
2025-01-17,Kolkata,22.603988802748745,88.35326801291099,Burglary,2,Open
2025-01-17,Hyderabad,17.37294246497319,78.50189393392381,Fraud,16,Under Investigation
2025-01-17,Ahmedabad,22.97710887594751,72.5747027919493,Vandalism,12,Resolved
2025-01-17,Jaipur,26.915360724703763,75.80043817818796,Burglary,7,Under Investigation
2025-01-17,Lucknow,26.822669605767437,80.90114942670185,Vandalism,18,Open
2025-01-17,Bhopal,23.21769995064849,77.43437206195074,Fraud,7,Open
2025-01-18,Mumbai,19.062693414677433,72.86456445963387,Theft,11,Under Investigation
2025-01-18,Delhi,28.673386363931687,77.07034784521115,Theft,16,Open
2025-01-18,Bengaluru,13.001105733082207,77.63465270017637,Theft,12,Open
2025-01-18,Chennai,13.117601625779098,80.31764463632389,Vandalism,7,Under Investigation
2025-01-18,Kolkata,22.565494866290052,88.36311689345538,Fraud,18,Open
2025-01-18,Hyderabad,17.336560358368484,78.43799603470602,Fraud,6,Under Investigation
2025-01-18,Ahmedabad,23.0421738682037,72.57987805913405,Assault,12,Open
2025-01-18,Jaipur,26.914507158735894,75.82576847974195,Fraud,10,Open
2025-01-18,Lucknow,26.880808058800962,80.90694219474538,Assault,8,Open
2025-01-18,Bhopal,23.251401295367888,77.37340576664965,Burglary,3,Open
2025-01-19,Mumbai,19.109661808833955,72.83039770843219,Burglary,15,Open
2025-01-19,Delhi,28.667836337905374,77.06826483439052,Fraud,1,Resolved
2025-01-19,Bengaluru,13.019265077810504,77.59149657457947,Burglary,7,Resolved
2025-01-19,Chennai,13.109229735949096,80.25817212352972,Theft,2,Under Investigation
2025-01-19,Kolkata,22.57056726666462,88.3420224947729,Theft,6,Resolved
2025-01-19,Hyderabad,17.3447366681331,78.49689460906326,Burglary,4,Under Investigation
2025-01-19,Ahmedabad,23.04513138547784,72.59826126118325,Burglary,18,Under Investigation
2025-01-19,Jaipur,26.949022590678897,75.8194942596986,Theft,4,Open
2025-01-19,Lucknow,26.82161688444554,80.91702081248152,Theft,11,Open
2025-01-19,Bhopal,23.299059112708406,77.37893448378021,Theft,8,Open
2025-01-20,Mumbai,19.04569756802225,72.86794900674808,Theft,2,Open
2025-01-20,Delhi,28.73041721128776,77.13272877924295,Fraud,2,Under Investigation
2025-01-20,Bengaluru,13.00583203046298,77.63836559329023,Vandalism,18,Under Investigation
2025-01-20,Chennai,13.119912866251571,80.30916327808498,Burglary,7,Resolved
2025-01-20,Kolkata,22.5679831515728,88.41361636816103,Burglary,14,Open
2025-01-20,Hyderabad,17.39712943581069,78.49670159835632,Theft,16,Under Investigation
2025-01-20,Ahmedabad,23.00792228497227,72.55432382830205,Theft,16,Resolved
2025-01-20,Jaipur,26.87925925824417,75.83198458780575,Theft,12,Open
2025-01-20,Lucknow,26.88768589426191,80.95253712580495,Assault,0,Resolved
2025-01-20,Bhopal,23.239056187358408,77.38844251221573,Assault,9,Under Investigation
2025-01-21,Mumbai,19.049087079092892,72.857082233356,Assault,14,Under Investigation
2025-01-21,Delhi,28.68943911077069,77.12008296415014,Vandalism,12,Resolved
2025-01-21,Bengaluru,12.993088189600003,77.5781353133509,Vandalism,9,Under Investigation
2025-01-21,Chennai,13.129738969888397,80.23267264791109,Theft,15,Open
2025-01-21,Kolkata,22.55860710386078,88.38378078309522,Vandalism,15,Open
2025-01-21,Hyderabad,17.42493635123772,78.44425483668996,Burglary,12,Under Investigation
2025-01-21,Ahmedabad,23.023854130196963,72.5607208028379,Theft,16,Open
2025-01-21,Jaipur,26.8656072875827,75.82543347261084,Theft,13,Resolved
2025-01-21,Lucknow,26.849379510104686,80.94626951811328,Fraud,6,Open
2025-01-21,Bhopal,23.246989270690626,77.39696121481929,Fraud,14,Resolved
2025-01-22,Mumbai,19.104594730229774,72.86113414793108,Assault,13,Open
2025-01-22,Delhi,28.740617756631266,77.08251621215852,Theft,8,Open
2025-01-22,Bengaluru,12.93823895161555,77.6395941330527,Assault,6,Under Investigation
2025-01-22,Chennai,13.065695682537056,80.25316474196624,Burglary,14,Under Investigation
2025-01-22,Kolkata,22.584701489360416,88.40219713460242,Assault,7,Under Investigation
2025-01-22,Hyderabad,17.432709619343136,78.48556318118327,Vandalism,5,Open
2025-01-22,Ahmedabad,23.01973329318914,72.59045382623127,Vandalism,9,Resolved
2025-01-22,Jaipur,26.89594298317029,75.82695887492687,Burglary,6,Resolved
2025-01-22,Lucknow,26.823027861118728,80.9812242189329,Burglary,11,Open
2025-01-22,Bhopal,23.24113081619832,77.38461440240559,Theft,15,Resolved
2025-01-23,Mumbai,19.08718475946561,72.8354361816878,Assault,0,Under Investigation
2025-01-23,Delhi,28.742851145673892,77.13269459736934,Burglary,16,Open
2025-01-23,Bengaluru,12.92537161877127,77.60187690969511,Assault,0,Open
2025-01-23,Chennai,13.040733145824216,80.24471047570415,Theft,12,Open
2025-01-23,Kolkata,22.531554215952507,88.4030418788981,Assault,7,Resolved
2025-01-23,Hyderabad,17.41937131971488,78.46111303894016,Fraud,17,Under Investigation
2025-01-23,Ahmedabad,22.999110695750502,72.56575225753184,Burglary,10,Open
2025-01-23,Jaipur,26.89986524610967,75.7575260142537,Assault,6,Resolved
2025-01-23,Lucknow,26.882258990072724,80.99345585096577,Fraud,5,Resolved
2025-01-23,Bhopal,23.229342497314082,77.41716475601358,Fraud,1,Under Investigation
2025-01-24,Mumbai,19.04197738625016,72.88169763428641,Fraud,7,Resolved
2025-01-24,Delhi,28.662644306085372,77.12926995658297,Assault,11,Under Investigation
2025-01-24,Bengaluru,13.003287006971304,77.63007539238261,Assault,11,Open
2025-01-24,Chennai,13.101657398941159,80.23887267802179,Assault,13,Under Investigation
2025-01-24,Kolkata,22.580339939484503,88.38112913672326,Fraud,12,Under Investigation
2025-01-24,Hyderabad,17.405405650434993,78.4972826680996,Assault,2,Open
2025-01-24,Ahmedabad,22.997550478708124,72.56854407695958,Burglary,10,Resolved
2025-01-24,Jaipur,26.926433360612076,75.7553487078703,Vandalism,17,Resolved
2025-01-24,Lucknow,26.842229447868725,80.93806735739848,Fraud,1,Open
2025-01-24,Bhopal,23.212466656833307,77.36446203239231,Assault,4,Resolved
2025-01-25,Mumbai,19.036407763414637,72.89199017151796,Theft,19,Open
2025-01-25,Delhi,28.68060146278372,77.14589698712486,Fraud,10,Under Investigation
2025-01-25,Bengaluru,13.004985693192133,77.60062272082683,Assault,19,Open
2025-01-25,Chennai,13.080000393611842,80.2922784077576,Theft,7,Under Investigation
2025-01-25,Kolkata,22.611683907766018,88.39009752375598,Theft,3,Under Investigation
2025-01-25,Hyderabad,17.382609292168716,78.49520119541626,Fraud,3,Resolved
2025-01-25,Ahmedabad,23.06222859859541,72.58391017404894,Vandalism,2,Resolved
2025-01-25,Jaipur,26.95653635510126,75.82124749670281,Vandalism,10,Resolved
2025-01-25,Lucknow,26.840317786313573,80.9628174934802,Theft,17,Open
2025-01-25,Bhopal,23.232948732947023,77.44066268914308,Fraud,3,Open
2025-01-26,Mumbai,19.054129599889947,72.90475962184881,Fraud,5,Resolved
2025-01-26,Delhi,28.70761378895018,77.08571683691791,Vandalism,17,Open
2025-01-26,Bengaluru,12.973768168424519,77.55711636744381,Fraud,1,Under Investigation
2025-01-26,Chennai,13.09498368607312,80.24287194959614,Theft,7,Open
2025-01-26,Kolkata,22.53055836399385,88.33305324470896,Fraud,8,Resolved
2025-01-26,Hyderabad,17.425349745077614,78.53516383415844,Vandalism,8,Open
2025-01-26,Ahmedabad,23.011551671796198,72.56824048587846,Burglary,0,Resolved
2025-01-26,Jaipur,26.957603356634785,75.77098045138175,Theft,0,Under Investigation
2025-01-26,Lucknow,26.890084271296484,80.91561196433469,Theft,0,Under Investigation
2025-01-26,Bhopal,23.239361046755427,77.4455952841297,Assault,16,Resolved
2025-01-27,Mumbai,19.041487378478354,72.88973807261021,Burglary,4,Open
2025-01-27,Delhi,28.752309307533313,77.06394905681073,Burglary,12,Open
2025-01-27,Bengaluru,12.930596016745337,77.63354559783342,Vandalism,17,Open
2025-01-27,Chennai,13.075586166147625,80.27845335290876,Burglary,16,Resolved
2025-01-27,Kolkata,22.621643640949163,88.35817078021549,Theft,4,Open
2025-01-27,Hyderabad,17.42972269275615,78.47512747729142,Fraud,7,Under Investigation
2025-01-27,Ahmedabad,23.06186000308037,72.52785245979157,Assault,11,Open
2025-01-27,Jaipur,26.948699603976394,75.80351418413771,Vandalism,14,Under Investigation
2025-01-27,Lucknow,26.8126434545494,80.91809880544409,Vandalism,17,Resolved
2025-01-27,Bhopal,23.275429107199017,77.38754241672146,Vandalism,18,Under Investigation
2025-01-28,Mumbai,19.116885337942904,72.85813207537575,Fraud,8,Under Investigation
2025-01-28,Delhi,28.683836926161774,77.09039243220957,Fraud,2,Under Investigation
2025-01-28,Bengaluru,12.954936747679787,77.5922599077178,Burglary,8,Resolved
2025-01-28,Chennai,13.099757039222974,80.22257853883214,Vandalism,5,Under Investigation
2025-01-28,Kolkata,22.547298346719483,88.40164044014983,Fraud,13,Resolved
2025-01-28,Hyderabad,17.360292909725423,78.439804980805,Burglary,17,Open
2025-01-28,Ahmedabad,23.0303500473497,72.54966277394163,Fraud,2,Resolved
2025-01-28,Jaipur,26.892713267696728,75.81710240965886,Theft,16,Open
2025-01-28,Lucknow,26.887087119487898,80.95691279514807,Burglary,7,Resolved
2025-01-28,Bhopal,23.25494072086621,77.36281710069704,Burglary,4,Resolved
2025-01-29,Mumbai,19.04098769949082,72.83430787031004,Assault,14,Under Investigation
2025-01-29,Delhi,28.74573408583981,77.10423273934629,Vandalism,9,Under Investigation
2025-01-29,Bengaluru,12.946949483237814,77.59085142102992,Assault,16,Under Investigation
2025-01-29,Chennai,13.100338062430861,80.22122365537474,Vandalism,4,Under Investigation
2025-01-29,Kolkata,22.538859205581467,88.3852318616452,Vandalism,0,Under Investigation
2025-01-29,Hyderabad,17.426054118098445,78.46925880609315,Theft,16,Under Investigation
2025-01-29,Ahmedabad,22.977799193610704,72.55553573724684,Fraud,16,Resolved
2025-01-29,Jaipur,26.947965724437985,75.81981873003419,Theft,14,Under Investigation
2025-01-29,Lucknow,26.889747544080176,80.92106631981706,Vandalism,10,Open
2025-01-29,Bhopal,23.22503357798724,77.3651920895084,Vandalism,3,Resolved
2025-01-30,Mumbai,19.088801298461405,72.83758810392511,Theft,9,Resolved
2025-01-30,Delhi,28.707315488597036,77.08612103931746,Assault,11,Resolved
2025-01-30,Bengaluru,12.965259122464538,77.63579690674419,Vandalism,15,Under Investigation
2025-01-30,Chennai,13.098941031470646,80.2951986830006,Burglary,5,Open
2025-01-30,Kolkata,22.615796918248776,88.35871347496031,Fraud,15,Open
2025-01-30,Hyderabad,17.432199480333114,78.49692251262996,Vandalism,15,Under Investigation
2025-01-30,Ahmedabad,22.988238473367794,72.61137247940893,Theft,7,Under Investigation
2025-01-30,Jaipur,26.89215736737904,75.74387341734136,Vandalism,7,Open
2025-01-30,Lucknow,26.841302136962593,80.9287596257773,Assault,13,Open
2025-01-30,Bhopal,23.232310132639284,77.3816218960299,Theft,12,Under Investigation
2025-01-31,Mumbai,19.062420022721035,72.87435761374672,Theft,12,Open
2025-01-31,Delhi,28.68213295156059,77.12680623738014,Vandalism,14,Under Investigation
2025-01-31,Bengaluru,13.007595606362054,77.56365614070126,Burglary,4,Open
2025-01-31,Chennai,13.079071690403245,80.24381547868673,Fraud,1,Resolved
2025-01-31,Kolkata,22.535271116082736,88.35253673546467,Vandalism,6,Under Investigation
2025-01-31,Hyderabad,17.432517659957295,78.46232084154967,Theft,12,Under Investigation
2025-01-31,Ahmedabad,23.043099663559754,72.6152473334262,Vandalism,17,Under Investigation
2025-01-31,Jaipur,26.91061049449328,75.76147397890107,Vandalism,3,Open
2025-01-31,Lucknow,26.803437780808586,80.90260674008846,Fraud,4,Under Investigation
2025-01-31,Bhopal,23.267928218582774,77.38588024895891,Fraud,14,Resolved
2025-02-01,Mumbai,19.0886225908063,72.86888227969354,Burglary,12,Resolved
2025-02-01,Delhi,28.657999824059992,77.09826690241357,Theft,13,Resolved
2025-02-01,Bengaluru,12.935988942247175,77.62220337108094,Burglary,15,Under Investigation
2025-02-01,Chennai,13.074362321017423,80.30513301502718,Assault,2,Under Investigation
2025-02-01,Kolkata,22.549684925459935,88.31744461677428,Theft,2,Open
2025-02-01,Hyderabad,17.352706258684442,78.45673656401702,Assault,12,Open
2025-02-01,Ahmedabad,22.973366532097256,72.60396478924108,Theft,0,Open
2025-02-01,Jaipur,26.95887056404094,75.80024011418118,Assault,7,Resolved
2025-02-01,Lucknow,26.81510950242399,80.94695393876597,Assault,7,Open
2025-02-01,Bhopal,23.226933914349544,77.43230601068151,Assault,11,Resolved
2025-02-02,Mumbai,19.064976321418804,72.89553676113334,Fraud,3,Resolved
2025-02-02,Delhi,28.690819815868387,77.1195419029744,Fraud,12,Under Investigation
2025-02-02,Bengaluru,12.961946285305396,77.63750940246688,Theft,18,Open
2025-02-02,Chennai,13.039442364286609,80.24565042924424,Theft,1,Resolved
2025-02-02,Kolkata,22.580575971216522,88.40736976279305,Assault,3,Open
2025-02-02,Hyderabad,17.399662110155667,78.45452087557092,Assault,17,Under Investigation
2025-02-02,Ahmedabad,23.058475683063996,72.55971276409822,Burglary,16,Resolved
2025-02-02,Jaipur,26.90766099453487,75.82153859068634,Vandalism,16,Under Investigation
2025-02-02,Lucknow,26.836468113036233,80.95875355628908,Theft,17,Open
2025-02-02,Bhopal,23.256347342561078,77.3757402550839,Fraud,3,Under Investigation
2025-02-03,Mumbai,19.055088789443378,72.86137240743206,Burglary,15,Resolved
2025-02-03,Delhi,28.68034689530016,77.05843618613999,Burglary,17,Resolved
2025-02-03,Bengaluru,12.960321768900721,77.57924671641466,Burglary,14,Open
2025-02-03,Chennai,13.109177555618931,80.30666795778598,Fraud,9,Under Investigation
2025-02-03,Kolkata,22.55650823348641,88.41291364002932,Fraud,11,Under Investigation
2025-02-03,Hyderabad,17.415368450057972,78.53615795819967,Assault,8,Under Investigation
2025-02-03,Ahmedabad,23.06131403297157,72.5729389146194,Fraud,0,Resolved
2025-02-03,Jaipur,26.94748027689605,75.76809228048957,Theft,17,Resolved
2025-02-03,Lucknow,26.804218121877227,80.98540628430561,Burglary,11,Under Investigation
